部件報告

測量設定資料名,2026最新版本-5880-大尾巴-完整Set-軟墊量測
測量日期及時間,2026/1/8 下午 04:16:32
批號,
串列計數器,1264-241202
擔當者,
商品名,
測量機器,KEYENCE LM-X Series(DESKTOP-O5ESJ05)
綜合判定,NG
備註,

＜測量結果＞
No,測量專案,實測值,單位,設計值,上限公差,下限公差,判斷
1,下版長度,118.988,mm,119.000,0.400,-0.400,OK,
2,下版寬度,145.052,mm,145.140,0.400,-0.400,OK,
3,NO.1孔內徑,2.695,mm,2.700,0.050,-0.050,OK,
4,NO.2孔內徑,2.693,mm,2.700,0.050,-0.050,OK,
5,NO.3孔內徑,2.690,mm,2.700,0.050,-0.050,OK,
6,NO.4孔內徑,2.680,mm,2.700,0.050,-0.050,OK,
7,NO.5孔內徑,2.684,mm,2.700,0.050,-0.050,OK,
8,NO.6孔內徑,2.691,mm,2.700,0.050,-0.050,OK,
9,NO.7孔內徑,2.687,mm,2.700,0.050,-0.050,OK,
10,NO.8孔內徑,2.686,mm,2.700,0.050,-0.050,OK,
11,NO.9孔內徑,2.697,mm,2.700,0.050,-0.050,OK,
12,NO.10孔內徑,2.695,mm,2.700,0.050,-0.050,OK,
13,NO.11孔內徑,2.687,mm,2.700,0.050,-0.050,OK,
14,NO.12孔內徑,2.695,mm,2.700,0.050,-0.050,OK,
15,NO.13孔內徑,2.688,mm,2.700,0.050,-0.050,OK,
16,NO.14孔內徑,2.692,mm,2.700,0.050,-0.050,OK,
17,NO.15孔內徑,2.689,mm,2.700,0.050,-0.050,OK,
18,NO.16孔內徑,2.686,mm,2.700,0.050,-0.050,OK,
19,NO.17孔內徑,2.689,mm,2.700,0.050,-0.050,OK,
20,NO.18孔內徑,2.695,mm,2.700,0.050,-0.050,OK,
21,NO.19孔內徑,2.684,mm,2.700,0.050,-0.050,OK,
22,NO.20孔內徑,2.688,mm,2.700,0.050,-0.050,OK,
23,NO.21孔內徑,2.693,mm,2.700,0.050,-0.050,OK,
24,NO.22孔內徑,2.682,mm,2.700,0.050,-0.050,OK,
25,NO.23孔內徑,2.685,mm,2.700,0.050,-0.050,OK,
26,NO.24孔內徑,2.691,mm,2.700,0.050,-0.050,OK,
27,NO.25孔內徑,2.682,mm,2.700,0.050,-0.050,OK,
28,NO.26孔內徑,2.683,mm,2.700,0.050,-0.050,OK,
29,NO.27孔內徑,2.687,mm,2.700,0.050,-0.050,OK,
30,NO.28孔內徑,2.688,mm,2.700,0.050,-0.050,OK,
31,NO.29孔內徑,2.683,mm,2.700,0.050,-0.050,OK,
32,NO.30孔內徑,2.688,mm,2.700,0.050,-0.050,OK,
33,NO.31孔內徑,2.690,mm,2.700,0.050,-0.050,OK,
34,NO.32孔內徑,2.688,mm,2.700,0.050,-0.050,OK,
35,NO.33孔內徑,2.687,mm,2.700,0.050,-0.050,OK,
36,NO.34孔內徑,2.685,mm,2.700,0.050,-0.050,OK,
