部件報告

測量設定資料名,5880-大尾巴-完整Set-軟墊量測_正確版_1
測量日期及時間,2025/12/23 下午 02:26:09
批號,
串列計數器,241456
擔當者,
商品名,
測量機器,KEYENCE LM-X Series(DESKTOP-O5ESJ05)
綜合判定,NG
備註,

＜測量結果＞
No,測量專案,實測值,單位,設計值,上限公差,下限公差,判斷
1,NO.1,2.700,mm,2.700,0.050,-0.050,OK,
2,NO.2,2.691,mm,2.700,0.050,-0.050,OK,
3,NO.3,2.695,mm,2.700,0.050,-0.050,OK,
4,NO.4,2.687,mm,2.700,0.050,-0.050,OK,
5,NO.5,2.685,mm,2.700,0.050,-0.050,OK,
6,NO.6,2.694,mm,2.700,0.050,-0.050,OK,
7,NO.7,2.687,mm,2.700,0.050,-0.050,OK,
8,NO.8,2.691,mm,2.700,0.050,-0.050,OK,
9,NO.9,2.702,mm,2.700,0.050,-0.050,OK,
10,NO.10,2.684,mm,2.700,0.050,-0.050,OK,
11,NO.11,2.691,mm,2.700,0.050,-0.050,OK,
12,NO.12,2.693,mm,2.700,0.050,-0.050,OK,
13,NO.13,2.693,mm,2.700,0.050,-0.050,OK,
14,NO.14,2.689,mm,2.700,0.050,-0.050,OK,
15,NO.15,2.686,mm,2.700,0.050,-0.050,OK,
16,NO.16,2.694,mm,2.700,0.050,-0.050,OK,
17,NO.17,2.697,mm,2.700,0.050,-0.050,OK,
18,NO.18,2.688,mm,2.700,0.050,-0.050,OK,
19,NO.19,2.720,mm,2.700,0.050,-0.050,OK,
20,NO.20,2.740,mm,2.700,0.050,-0.050,OK,
21,NO.21,2.731,mm,2.700,0.050,-0.050,OK,
22,NO.22,2.686,mm,2.700,0.050,-0.050,OK,
23,NO.23,2.695,mm,2.700,0.050,-0.050,OK,
24,NO.24,2.699,mm,2.700,0.050,-0.050,OK,
25,NO.25,2.684,mm,2.700,0.050,-0.050,OK,
26,NO.26,2.691,mm,2.700,0.050,-0.050,OK,
27,NO.27,2.691,mm,2.700,0.050,-0.050,OK,
28,NO.28,2.689,mm,2.700,0.050,-0.050,OK,
29,NO.29,2.685,mm,2.700,0.050,-0.050,OK,
30,NO.30,2.681,mm,2.700,0.050,-0.050,OK,
31,NO.31,2.697,mm,2.700,0.050,-0.050,OK,
32,NO.32,2.695,mm,2.700,0.050,-0.050,OK,
33,NO.33,2.695,mm,2.700,0.050,-0.050,OK,
34,NO.34,2.695,mm,2.700,0.050,-0.050,OK,
35,NO.35,2.692,mm,2.700,0.050,-0.050,OK,
36,NO.36,2.697,mm,2.700,0.050,-0.050,OK,
37,NO.37,2.696,mm,2.700,0.050,-0.050,OK,
38,NO.38,2.690,mm,2.700,0.050,-0.050,OK,
39,NO.39,2.690,mm,2.700,0.050,-0.050,OK,
