部件報告

測量設定資料名,2025最新版本-6880-大尾巴-完整Set-軟墊量測
測量日期及時間,2026/1/8 下午 04:43:19
批號,
串列計數器,C2V186SP-688V30S0147
擔當者,
商品名,
測量機器,KEYENCE LM-X Series(DESKTOP-O5ESJ05)
綜合判定,NG
備註,

＜測量結果＞
No,測量專案,實測值,單位,設計值,上限公差,下限公差,判斷
1,下版長度,99.000,mm,98.725,0.400,-0.400,OK,
2,下版寬度,136.045,mm,136.000,0.400,-0.400,OK,
3,no.1孔內徑,2.768,mm,2.700,0.050,-0.050,NG,
4,no.2孔內徑,2.761,mm,2.700,0.050,-0.050,NG,
5,no.3孔內徑,2.761,mm,2.700,0.050,-0.050,NG,
6,no.4孔內徑,2.753,mm,2.700,0.050,-0.050,NG,
7,no.5孔內徑,2.756,mm,2.700,0.050,-0.050,NG,
8,no.6孔內徑,2.761,mm,2.700,0.050,-0.050,NG,
9,no.7孔內徑,2.756,mm,2.700,0.050,-0.050,NG,
10,no.8孔內徑,2.759,mm,2.700,0.050,-0.050,NG,
11,no.9孔內徑,2.757,mm,2.700,0.050,-0.050,NG,
12,no.10孔內徑,2.756,mm,2.700,0.050,-0.050,NG,
13,no.11孔內徑,2.761,mm,2.700,0.050,-0.050,NG,
14,no.12孔內徑,2.761,mm,2.700,0.050,-0.050,NG,
15,no.13孔內徑,2.771,mm,2.700,0.050,-0.050,NG,
16,no.14孔內徑,2.758,mm,2.700,0.050,-0.050,NG,
17,no.15孔內徑,2.767,mm,2.700,0.050,-0.050,NG,
18,no.16孔內徑,2.758,mm,2.700,0.050,-0.050,NG,
19,no.17孔內徑,2.758,mm,2.700,0.050,-0.050,NG,
20,no.18孔內徑,2.760,mm,2.700,0.050,-0.050,NG,
21,no.19孔內徑,2.760,mm,2.700,0.050,-0.050,NG,
22,no.20孔內徑,2.761,mm,2.700,0.050,-0.050,NG,
23,no.21孔內徑,2.759,mm,2.700,0.050,-0.050,NG,
24,no.22孔內徑,2.757,mm,2.700,0.050,-0.050,NG,
25,no.23孔內徑,2.757,mm,2.700,0.050,-0.050,NG,
26,no.24孔內徑,2.758,mm,2.700,0.050,-0.050,NG,
27,no.25孔內徑,2.758,mm,2.700,0.050,-0.050,NG,
28,no.26孔內徑,2.762,mm,2.700,0.050,-0.050,NG,
29,no.27孔內徑,2.761,mm,2.700,0.050,-0.050,NG,
30,no.28孔內徑,2.762,mm,2.700,0.050,-0.050,NG,
31,no.29孔內徑,2.759,mm,2.700,0.050,-0.050,NG,
32,no.30孔內徑,2.762,mm,2.700,0.050,-0.050,NG,
33,no.31孔內徑,2.761,mm,2.700,0.050,-0.050,NG,
34,no.32孔內徑,2.758,mm,2.700,0.050,-0.050,NG,
35,no.33孔內徑,2.764,mm,2.700,0.050,-0.050,NG,
36,no.34孔內徑,2.758,mm,2.700,0.050,-0.050,NG,
37,no.35孔內徑,2.759,mm,2.700,0.050,-0.050,NG,
38,no.36孔內徑,2.760,mm,2.700,0.050,-0.050,NG,
39,no.37孔內徑,2.760,mm,2.700,0.050,-0.050,NG,
40,no.38孔內徑,2.758,mm,2.700,0.050,-0.050,NG,
41,no.39孔內徑,2.760,mm,2.700,0.050,-0.050,NG,
42,no.40孔內徑,2.753,mm,2.700,0.050,-0.050,NG,
43,no.41孔內徑,2.758,mm,2.700,0.050,-0.050,NG,
44,no.42孔內徑,2.757,mm,2.700,0.050,-0.050,NG,
45,no.43孔內徑,2.755,mm,2.700,0.050,-0.050,NG,
46,no.44孔內徑,2.758,mm,2.700,0.050,-0.050,NG,
47,no.45孔內徑,2.763,mm,2.700,0.050,-0.050,NG,
48,no.46孔內徑,2.758,mm,2.700,0.050,-0.050,NG,
49,no.47孔內徑,2.759,mm,2.700,0.050,-0.050,NG,
50,no.48孔內徑,2.758,mm,2.700,0.050,-0.050,NG,
51,no.49孔內徑,2.759,mm,2.700,0.050,-0.050,NG,
52,no.50孔內徑,2.757,mm,2.700,0.050,-0.050,NG,
53,no.51孔內徑,2.758,mm,2.700,0.050,-0.050,NG,
54,no.52孔內徑,2.759,mm,2.700,0.050,-0.050,NG,
55,no.53孔內徑,2.758,mm,2.700,0.050,-0.050,NG,
56,no.54孔內徑,2.757,mm,2.700,0.050,-0.050,NG,
